table_id,Facility,Unit_or_Service,Intervention_Name,Metric_Name,Metric_Definition,Submetric,Baseline_Value,Baseline_Period,Post_Value,Post_Period,Delta_Value,Delta_Percent,Target_Goal,Status_Flag,Sample_Size_Baseline,Sample_Size_Post,Cost_Savings_Estimate,Staff_Hours_Saved,Patient_Safety_Impact,Satisfaction_Score_Impact,Notes,Last_Updated
OR_Turnover,Main Hospital,ICU,Cycle time optimization,Readmission,Percentage of patients readmitted within 30 days,Readmission-ICU,12.33,2024-07 to 2024-12,10.68416709,2025-01 to 2025-06,-1.65,-13.35,10.3,Yellow,599,623,21421.71,437,Low,7,Monitored for trend post intervention.,8/19/2025
ED_Throughput,Community Campus,Radiology,Workflow redesign,Door-to-Doc,Time from arrival to physician encounter,Door-to-Doc-Radiology,6.91,2024-07 to 2024-12,11.84966143,2025-01 to 2025-06,4.94,71.49,6.28,Red,819,936,43323.45,301,Moderate,5,Monitored for trend post intervention.,8/19/2025
Inpatient_LOS,Community Campus,Radiology,Triage automation,Turnover Time,OR room turnover time in minutes,Turnover Time-Radiology,17.97,2024-07 to 2024-12,21.54711492,2025-01 to 2025-06,3.58,19.91,16.23,Red,241,976,1983.11,416,High,5,Monitored for trend post intervention.,8/19/2025
Inpatient_LOS,Community Campus,ED,Triage automation,Throughput,Number of patients processed per day,Throughput-ED,10.46,2024-07 to 2024-12,5.96525316,2025-01 to 2025-06,-4.49,-42.97,9.02,Green,598,756,18082.81,319,Moderate,7,Monitored for trend post intervention.,8/19/2025
OR_Turnover,Community Campus,Ambulatory,Cycle time optimization,LOS,Length of stay in days,LOS-Ambulatory,19.54,2024-07 to 2024-12,19.84803955,2025-01 to 2025-06,0.31,1.58,17.47,Yellow,550,446,14481.09,484,High,10,Monitored for trend post intervention.,8/19/2025
Clinic_CycleTime,Community Campus,Ambulatory,Cycle time optimization,Cost per Encounter,Average cost per encounter in USD,Cost per Encounter-Ambulatory,9.2,2024-07 to 2024-12,9.016509755,2025-01 to 2025-06,-0.18,-1.99,8.42,Yellow,125,568,43080.82,446,Low,8,Monitored for trend post intervention.,8/19/2025
OR_Turnover,Community Campus,ED,Cycle time optimization,Cost per Encounter,Average cost per encounter in USD,Cost per Encounter-ED,2.3,2024-07 to 2024-12,5.396675445,2025-01 to 2025-06,3.1,134.64,2.04,Red,884,633,48549.93,447,High,10,Monitored for trend post intervention.,8/19/2025
Clinic_CycleTime,Main Hospital,OR,Workflow redesign,Door-to-Doc,Time from arrival to physician encounter,Door-to-Doc-OR,4.65,2024-07 to 2024-12,3.985596602,2025-01 to 2025-06,-0.66,-14.29,4.15,Green,569,732,5885.03,14,Moderate,8,Monitored for trend post intervention.,8/19/2025
OR_Turnover,Main Hospital,ED,Triage automation,Door-to-Doc,Time from arrival to physician encounter,Door-to-Doc-ED,8.35,2024-07 to 2024-12,5.567217689,2025-01 to 2025-06,-2.78,-33.33,7.08,Green,556,213,47090.05,294,Moderate,10,Monitored for trend post intervention.,8/19/2025
OR_Turnover,Community Campus,ICU,Workflow redesign,Throughput,Number of patients processed per day,Throughput-ICU,6.11,2024-07 to 2024-12,10.61540537,2025-01 to 2025-06,4.51,73.74,5.62,Red,132,128,49465.47,132,Moderate,9,Monitored for trend post intervention.,8/19/2025
OR_Turnover,Main Hospital,OR,Triage automation,Readmission,Percentage of patients readmitted within 30 days,Readmission-OR,7.3,2024-07 to 2024-12,5.033422993,2025-01 to 2025-06,-2.27,-31.05,6.37,Green,983,676,16376.6,312,Low,2,Monitored for trend post intervention.,8/19/2025
Clinic_CycleTime,Main Hospital,ED,Lean turnover project,Wait Time,Average wait time before service,Wait Time-ED,12.89,2024-07 to 2024-12,9.198085487,2025-01 to 2025-06,-3.69,-28.64,12.12,Green,663,618,47483.38,416,Moderate,5,Monitored for trend post intervention.,8/19/2025
Inpatient_LOS,Community Campus,ED,Workflow redesign,Throughput,Number of patients processed per day,Throughput-ED,3.6,2024-07 to 2024-12,5.224524503,2025-01 to 2025-06,1.62,45.13,3.39,Yellow,632,263,22113.68,66,High,9,Monitored for trend post intervention.,8/19/2025
Inpatient_LOS,Community Campus,Radiology,Cycle time optimization,LOS,Length of stay in days,LOS-Radiology,5.82,2024-07 to 2024-12,10.66521312,2025-01 to 2025-06,4.85,83.25,5.39,Red,525,326,48282.13,332,Low,6,Monitored for trend post intervention.,8/19/2025
ED_Throughput,Main Hospital,Ambulatory,Cycle time optimization,Door-to-Doc,Time from arrival to physician encounter,Door-to-Doc-Ambulatory,13.64,2024-07 to 2024-12,14.11990096,2025-01 to 2025-06,0.48,3.52,12.71,Yellow,670,555,21536.07,124,Low,9,Monitored for trend post intervention.,8/19/2025
ED_Throughput,Community Campus,Med-Surg,Workflow redesign,Readmission,Percentage of patients readmitted within 30 days,Readmission-Med-Surg,15.78,2024-07 to 2024-12,11.03386391,2025-01 to 2025-06,-4.75,-30.08,13.64,Green,977,838,48506.6,306,High,6,Monitored for trend post intervention.,8/19/2025
Inpatient_LOS,Community Campus,Ambulatory,Lean turnover project,Door-to-Doc,Time from arrival to physician encounter,Door-to-Doc-Ambulatory,4.26,2024-07 to 2024-12,1.703177693,2025-01 to 2025-06,-2.56,-60.02,3.49,Green,138,917,25153.02,448,Moderate,6,Monitored for trend post intervention.,8/19/2025
Inpatient_LOS,Main Hospital,ED,Lean turnover project,Door-to-Doc,Time from arrival to physician encounter,Door-to-Doc-ED,7.79,2024-07 to 2024-12,11.48314405,2025-01 to 2025-06,3.69,47.41,6.83,Red,698,298,11365.64,297,High,10,Monitored for trend post intervention.,8/19/2025
ED_Throughput,Community Campus,Radiology,Workflow redesign,No-Show,Percentage of patients missing appointments,No-Show-Radiology,4.33,2024-07 to 2024-12,4.992499082,2025-01 to 2025-06,0.66,15.3,4.04,Yellow,379,874,14989.86,63,High,10,Monitored for trend post intervention.,8/19/2025
Clinic_CycleTime,Community Campus,Med-Surg,Lean turnover project,Wait Time,Average wait time before service,Wait Time-Med-Surg,14.48,2024-07 to 2024-12,17.80926443,2025-01 to 2025-06,3.33,22.99,13.04,Red,308,372,24029.26,98,Moderate,8,Monitored for trend post intervention.,8/19/2025
Inpatient_LOS,Main Hospital,ICU,Workflow redesign,Wait Time,Average wait time before service,Wait Time-ICU,11.91,2024-07 to 2024-12,11.74811184,2025-01 to 2025-06,-0.16,-1.36,9.87,Yellow,848,568,27015.36,195,High,1,Monitored for trend post intervention.,8/19/2025
Inpatient_LOS,Community Campus,ICU,Lean turnover project,Wait Time,Average wait time before service,Wait Time-ICU,12.63,2024-07 to 2024-12,8.358401032,2025-01 to 2025-06,-4.27,-33.82,11.83,Green,274,864,3333.93,360,Moderate,3,Monitored for trend post intervention.,8/19/2025
Inpatient_LOS,Main Hospital,ED,Lean turnover project,Throughput,Number of patients processed per day,Throughput-ED,9.39,2024-07 to 2024-12,11.54464382,2025-01 to 2025-06,2.15,22.95,7.54,Red,758,257,8434,274,Low,2,Monitored for trend post intervention.,8/19/2025
ED_Throughput,Community Campus,ICU,Triage automation,Door-to-Doc,Time from arrival to physician encounter,Door-to-Doc-ICU,7.67,2024-07 to 2024-12,3.032913742,2025-01 to 2025-06,-4.64,-60.46,7.19,Green,240,271,8769.81,330,Moderate,9,Monitored for trend post intervention.,8/19/2025
Inpatient_LOS,Community Campus,Radiology,Cycle time optimization,Turnover Time,OR room turnover time in minutes,Turnover Time-Radiology,15.8,2024-07 to 2024-12,16.11379306,2025-01 to 2025-06,0.31,1.99,12.89,Red,464,864,40591.1,293,High,3,Monitored for trend post intervention.,8/19/2025
ED_Throughput,Community Campus,OR,Triage automation,Cycle Time,Total cycle time per patient visit in minutes,Cycle Time-OR,11.27,2024-07 to 2024-12,7.752116066,2025-01 to 2025-06,-3.52,-31.21,9.56,Green,679,859,36550.33,330,High,9,Monitored for trend post intervention.,8/19/2025
OR_Turnover,Main Hospital,Radiology,Cycle time optimization,Throughput,Number of patients processed per day,Throughput-Radiology,10.72,2024-07 to 2024-12,7.533993759,2025-01 to 2025-06,-3.19,-29.72,9.84,Green,976,232,49857.53,408,High,5,Monitored for trend post intervention.,8/19/2025
ED_Throughput,Main Hospital,OR,Cycle time optimization,Turnover Time,OR room turnover time in minutes,Turnover Time-OR,12.44,2024-07 to 2024-12,9.795413543,2025-01 to 2025-06,-2.64,-21.26,10.14,Green,930,479,19958.4,71,High,3,Monitored for trend post intervention.,8/19/2025
OR_Turnover,Main Hospital,Med-Surg,Cycle time optimization,Turnover Time,OR room turnover time in minutes,Turnover Time-Med-Surg,6.2,2024-07 to 2024-12,4.27778961,2025-01 to 2025-06,-1.92,-31,4.98,Green,607,207,14734.9,471,Moderate,3,Monitored for trend post intervention.,8/19/2025
Clinic_CycleTime,Main Hospital,ED,Cycle time optimization,No-Show,Percentage of patients missing appointments,No-Show-ED,15.36,2024-07 to 2024-12,12.00534724,2025-01 to 2025-06,-3.35,-21.84,14.07,Green,927,857,23765.79,361,High,6,Monitored for trend post intervention.,8/19/2025
OR_Turnover,Main Hospital,Radiology,Lean turnover project,Door-to-Doc,Time from arrival to physician encounter,Door-to-Doc-Radiology,13.62,2024-07 to 2024-12,12.05812178,2025-01 to 2025-06,-1.56,-11.47,12.68,Green,774,220,49105.42,455,High,9,Monitored for trend post intervention.,8/19/2025
OR_Turnover,Community Campus,ICU,Workflow redesign,Wait Time,Average wait time before service,Wait Time-ICU,19.01,2024-07 to 2024-12,16.96738006,2025-01 to 2025-06,-2.04,-10.74,17.59,Green,991,645,27311.08,408,High,2,Monitored for trend post intervention.,8/19/2025
Clinic_CycleTime,Community Campus,Radiology,Triage automation,Cost per Encounter,Average cost per encounter in USD,Cost per Encounter-Radiology,3.39,2024-07 to 2024-12,0.127945623,2025-01 to 2025-06,-3.26,-96.23,3.21,Green,990,904,17326.32,433,Moderate,4,Monitored for trend post intervention.,8/19/2025
ED_Throughput,Community Campus,Radiology,Lean turnover project,No-Show,Percentage of patients missing appointments,No-Show-Radiology,6.94,2024-07 to 2024-12,2.008570961,2025-01 to 2025-06,-4.93,-71.06,5.58,Green,735,453,9297.37,449,Moderate,5,Monitored for trend post intervention.,8/19/2025
Clinic_CycleTime,Community Campus,Ambulatory,Triage automation,Readmission,Percentage of patients readmitted within 30 days,Readmission-Ambulatory,11.41,2024-07 to 2024-12,14.29766657,2025-01 to 2025-06,2.89,25.31,9.95,Red,211,398,15392.21,91,Moderate,8,Monitored for trend post intervention.,8/19/2025
Inpatient_LOS,Community Campus,Radiology,Triage automation,Cost per Encounter,Average cost per encounter in USD,Cost per Encounter-Radiology,19.68,2024-07 to 2024-12,16.40775613,2025-01 to 2025-06,-3.27,-16.63,15.82,Yellow,489,216,23960.21,204,Low,5,Monitored for trend post intervention.,8/19/2025
Clinic_CycleTime,Community Campus,OR,Cycle time optimization,Wait Time,Average wait time before service,Wait Time-OR,3.54,2024-07 to 2024-12,5.305111114,2025-01 to 2025-06,1.77,49.86,2.91,Yellow,931,924,49664.18,227,Low,7,Monitored for trend post intervention.,8/19/2025
Inpatient_LOS,Community Campus,Med-Surg,Workflow redesign,LOS,Length of stay in days,LOS-Med-Surg,16.7,2024-07 to 2024-12,14.48654432,2025-01 to 2025-06,-2.21,-13.25,15.03,Green,208,380,31472.57,498,High,4,Monitored for trend post intervention.,8/19/2025
Inpatient_LOS,Community Campus,Radiology,Cycle time optimization,Turnover Time,OR room turnover time in minutes,Turnover Time-Radiology,7.35,2024-07 to 2024-12,6.615243921,2025-01 to 2025-06,-0.73,-10,6,Yellow,718,716,40245.44,378,Low,1,Monitored for trend post intervention.,8/19/2025
ED_Throughput,Main Hospital,OR,Workflow redesign,Door-to-Doc,Time from arrival to physician encounter,Door-to-Doc-OR,3.24,2024-07 to 2024-12,5.50190334,2025-01 to 2025-06,2.26,69.81,3.01,Yellow,719,170,23653.94,44,Low,10,Monitored for trend post intervention.,8/19/2025
ED_Throughput,Community Campus,Radiology,Lean turnover project,Cycle Time,Total cycle time per patient visit in minutes,Cycle Time-Radiology,11.66,2024-07 to 2024-12,9.265428298,2025-01 to 2025-06,-2.39,-20.54,9.99,Green,296,480,46808.59,312,High,2,Monitored for trend post intervention.,8/19/2025
Clinic_CycleTime,Main Hospital,ICU,Workflow redesign,Wait Time,Average wait time before service,Wait Time-ICU,5.29,2024-07 to 2024-12,1.88812745,2025-01 to 2025-06,-3.4,-64.31,4.83,Green,441,222,21152.5,65,Low,4,Monitored for trend post intervention.,8/19/2025
Clinic_CycleTime,Community Campus,Radiology,Lean turnover project,No-Show,Percentage of patients missing appointments,No-Show-Radiology,5.17,2024-07 to 2024-12,5.469371927,2025-01 to 2025-06,0.3,5.79,4.75,Yellow,216,719,6740.57,99,Moderate,1,Monitored for trend post intervention.,8/19/2025
Inpatient_LOS,Community Campus,Radiology,Workflow redesign,Cost per Encounter,Average cost per encounter in USD,Cost per Encounter-Radiology,6.55,2024-07 to 2024-12,3.968946102,2025-01 to 2025-06,-2.58,-39.41,5.66,Green,196,991,29693.59,248,Moderate,8,Monitored for trend post intervention.,8/19/2025
Inpatient_LOS,Community Campus,OR,Workflow redesign,Turnover Time,OR room turnover time in minutes,Turnover Time-OR,18.82,2024-07 to 2024-12,14.73337717,2025-01 to 2025-06,-4.09,-21.71,17.73,Green,681,736,41662.43,142,High,3,Monitored for trend post intervention.,8/19/2025
Inpatient_LOS,Community Campus,Ambulatory,Triage automation,Door-to-Doc,Time from arrival to physician encounter,Door-to-Doc-Ambulatory,11.48,2024-07 to 2024-12,9.0174915,2025-01 to 2025-06,-2.46,-21.45,10.84,Green,271,439,33789.43,341,High,2,Monitored for trend post intervention.,8/19/2025
Inpatient_LOS,Main Hospital,Med-Surg,Cycle time optimization,Door-to-Doc,Time from arrival to physician encounter,Door-to-Doc-Med-Surg,5.83,2024-07 to 2024-12,4.014594167,2025-01 to 2025-06,-1.82,-31.14,5.1,Green,194,105,8318.32,247,High,1,Monitored for trend post intervention.,8/19/2025
Clinic_CycleTime,Community Campus,ED,Lean turnover project,No-Show,Percentage of patients missing appointments,No-Show-ED,7.98,2024-07 to 2024-12,7.529503014,2025-01 to 2025-06,-0.45,-5.65,6.4,Yellow,122,898,14316.53,259,Low,3,Monitored for trend post intervention.,8/19/2025
OR_Turnover,Community Campus,ICU,Workflow redesign,Throughput,Number of patients processed per day,Throughput-ICU,16.08,2024-07 to 2024-12,13.64698776,2025-01 to 2025-06,-2.43,-15.13,14,Green,464,865,43881.39,84,Low,9,Monitored for trend post intervention.,8/19/2025
Clinic_CycleTime,Main Hospital,Radiology,Lean turnover project,Readmission,Percentage of patients readmitted within 30 days,Readmission-Radiology,4.67,2024-07 to 2024-12,8.025191445,2025-01 to 2025-06,3.36,71.85,4.25,Red,765,814,27684.46,71,Moderate,5,Monitored for trend post intervention.,8/19/2025
Inpatient_LOS,Main Hospital,OR,Cycle time optimization,Turnover Time,OR room turnover time in minutes,Turnover Time-OR,10.77,2024-07 to 2024-12,12.86350568,2025-01 to 2025-06,2.09,19.44,9.81,Red,423,219,32349.08,411,High,8,Monitored for trend post intervention.,8/19/2025
Inpatient_LOS,Main Hospital,ICU,Cycle time optimization,Throughput,Number of patients processed per day,Throughput-ICU,3.4,2024-07 to 2024-12,7.043812035,2025-01 to 2025-06,3.64,107.17,3.21,Red,730,472,46704.64,364,High,10,Monitored for trend post intervention.,8/19/2025
OR_Turnover,Community Campus,Med-Surg,Lean turnover project,LOS,Length of stay in days,LOS-Med-Surg,9.34,2024-07 to 2024-12,7.067689949,2025-01 to 2025-06,-2.27,-24.33,8.12,Green,319,548,35574.93,48,High,3,Monitored for trend post intervention.,8/19/2025
Clinic_CycleTime,Community Campus,ICU,Cycle time optimization,Cycle Time,Total cycle time per patient visit in minutes,Cycle Time-ICU,18.05,2024-07 to 2024-12,16.48051967,2025-01 to 2025-06,-1.57,-8.7,14.53,Yellow,828,924,8701.26,225,Moderate,4,Monitored for trend post intervention.,8/19/2025
ED_Throughput,Main Hospital,Radiology,Triage automation,No-Show,Percentage of patients missing appointments,No-Show-Radiology,12.8,2024-07 to 2024-12,11.30557232,2025-01 to 2025-06,-1.49,-11.68,11.3,Yellow,205,797,36110.18,339,Moderate,3,Monitored for trend post intervention.,8/19/2025
Clinic_CycleTime,Community Campus,OR,Workflow redesign,Cycle Time,Total cycle time per patient visit in minutes,Cycle Time-OR,9.5,2024-07 to 2024-12,13.75920541,2025-01 to 2025-06,4.26,44.83,8.16,Red,930,372,35536.23,91,High,8,Monitored for trend post intervention.,8/19/2025
ED_Throughput,Community Campus,Ambulatory,Cycle time optimization,No-Show,Percentage of patients missing appointments,No-Show-Ambulatory,8.17,2024-07 to 2024-12,4.819780924,2025-01 to 2025-06,-3.35,-41.01,7.3,Green,135,939,15796.89,40,Low,5,Monitored for trend post intervention.,8/19/2025
Clinic_CycleTime,Community Campus,Ambulatory,Lean turnover project,No-Show,Percentage of patients missing appointments,No-Show-Ambulatory,3.27,2024-07 to 2024-12,8.021658761,2025-01 to 2025-06,4.75,145.31,2.87,Red,579,805,31419.1,488,Low,7,Monitored for trend post intervention.,8/19/2025
Clinic_CycleTime,Main Hospital,ICU,Cycle time optimization,Wait Time,Average wait time before service,Wait Time-ICU,4.07,2024-07 to 2024-12,0,2025-01 to 2025-06,-4.07,-100,3.66,Green,100,724,35235.81,94,Low,3,Monitored for trend post intervention.,8/19/2025
OR_Turnover,Main Hospital,Ambulatory,Workflow redesign,No-Show,Percentage of patients missing appointments,No-Show-Ambulatory,12.11,2024-07 to 2024-12,13.6194967,2025-01 to 2025-06,1.51,12.46,11.21,Yellow,964,322,5408.82,409,Moderate,2,Monitored for trend post intervention.,8/19/2025
ED_Throughput,Community Campus,Med-Surg,Cycle time optimization,LOS,Length of stay in days,LOS-Med-Surg,4.45,2024-07 to 2024-12,1.531023335,2025-01 to 2025-06,-2.92,-65.59,4.06,Green,528,676,40369.83,142,High,8,Monitored for trend post intervention.,8/19/2025
ED_Throughput,Main Hospital,OR,Lean turnover project,Throughput,Number of patients processed per day,Throughput-OR,2.32,2024-07 to 2024-12,6.363515957,2025-01 to 2025-06,4.04,174.29,2.2,Red,481,551,42340.48,492,Low,7,Monitored for trend post intervention.,8/19/2025
Inpatient_LOS,Community Campus,ICU,Lean turnover project,No-Show,Percentage of patients missing appointments,No-Show-ICU,18.23,2024-07 to 2024-12,16.68398789,2025-01 to 2025-06,-1.55,-8.48,15.53,Yellow,335,688,12503.15,399,Moderate,5,Monitored for trend post intervention.,8/19/2025
ED_Throughput,Community Campus,ICU,Cycle time optimization,Cycle Time,Total cycle time per patient visit in minutes,Cycle Time-ICU,2.12,2024-07 to 2024-12,4.947924559,2025-01 to 2025-06,2.83,133.39,1.71,Red,961,577,43303.68,327,High,1,Monitored for trend post intervention.,8/19/2025
ED_Throughput,Main Hospital,Med-Surg,Cycle time optimization,LOS,Length of stay in days,LOS-Med-Surg,12.07,2024-07 to 2024-12,16.03463794,2025-01 to 2025-06,3.96,32.85,10.27,Red,349,824,39996.91,353,Low,4,Monitored for trend post intervention.,8/19/2025
Inpatient_LOS,Main Hospital,Radiology,Cycle time optimization,Cost per Encounter,Average cost per encounter in USD,Cost per Encounter-Radiology,7.31,2024-07 to 2024-12,7.972728861,2025-01 to 2025-06,0.66,9.07,6.73,Yellow,844,324,8358.41,20,Low,5,Monitored for trend post intervention.,8/19/2025
ED_Throughput,Main Hospital,OR,Workflow redesign,Throughput,Number of patients processed per day,Throughput-OR,16.79,2024-07 to 2024-12,13.37398555,2025-01 to 2025-06,-3.42,-20.35,15.47,Green,238,942,20558.49,343,High,5,Monitored for trend post intervention.,8/19/2025
Inpatient_LOS,Main Hospital,Med-Surg,Triage automation,Cycle Time,Total cycle time per patient visit in minutes,Cycle Time-Med-Surg,17.84,2024-07 to 2024-12,13.96932378,2025-01 to 2025-06,-3.87,-21.7,16.16,Green,852,947,34377.83,165,Moderate,9,Monitored for trend post intervention.,8/19/2025
OR_Turnover,Main Hospital,ED,Cycle time optimization,Cost per Encounter,Average cost per encounter in USD,Cost per Encounter-ED,16.95,2024-07 to 2024-12,20.55186929,2025-01 to 2025-06,3.6,21.25,15.29,Red,204,623,38288.71,483,Low,10,Monitored for trend post intervention.,8/19/2025
ED_Throughput,Community Campus,ICU,Lean turnover project,Door-to-Doc,Time from arrival to physician encounter,Door-to-Doc-ICU,17.52,2024-07 to 2024-12,16.59079515,2025-01 to 2025-06,-0.93,-5.3,15.56,Yellow,198,681,48153.65,309,High,3,Monitored for trend post intervention.,8/19/2025
ED_Throughput,Community Campus,OR,Cycle time optimization,Cycle Time,Total cycle time per patient visit in minutes,Cycle Time-OR,10.68,2024-07 to 2024-12,10.55353569,2025-01 to 2025-06,-0.13,-1.18,9.57,Yellow,153,559,5332.44,68,Low,5,Monitored for trend post intervention.,8/19/2025
ED_Throughput,Main Hospital,ICU,Triage automation,Turnover Time,OR room turnover time in minutes,Turnover Time-ICU,19.4,2024-07 to 2024-12,16.82281658,2025-01 to 2025-06,-2.58,-13.28,17.44,Green,577,900,42834.52,360,Low,1,Monitored for trend post intervention.,8/19/2025
Clinic_CycleTime,Community Campus,Radiology,Cycle time optimization,LOS,Length of stay in days,LOS-Radiology,3.88,2024-07 to 2024-12,1.860183282,2025-01 to 2025-06,-2.02,-52.06,3.28,Green,357,812,15670.68,346,Moderate,3,Monitored for trend post intervention.,8/19/2025
ED_Throughput,Community Campus,Ambulatory,Workflow redesign,Readmission,Percentage of patients readmitted within 30 days,Readmission-Ambulatory,18.22,2024-07 to 2024-12,13.25211968,2025-01 to 2025-06,-4.97,-27.27,16.78,Green,693,538,14350.94,377,Moderate,8,Monitored for trend post intervention.,8/19/2025
Inpatient_LOS,Main Hospital,OR,Lean turnover project,No-Show,Percentage of patients missing appointments,No-Show-OR,2.9,2024-07 to 2024-12,0,2025-01 to 2025-06,-2.9,-100,2.45,Green,406,684,49832.77,371,Moderate,9,Monitored for trend post intervention.,8/19/2025
OR_Turnover,Main Hospital,Med-Surg,Workflow redesign,Door-to-Doc,Time from arrival to physician encounter,Door-to-Doc-Med-Surg,18.8,2024-07 to 2024-12,22.73716234,2025-01 to 2025-06,3.94,20.94,17.62,Red,336,705,39908.66,206,Low,3,Monitored for trend post intervention.,8/19/2025
OR_Turnover,Main Hospital,OR,Lean turnover project,Throughput,Number of patients processed per day,Throughput-OR,3.31,2024-07 to 2024-12,2.47498581,2025-01 to 2025-06,-0.84,-25.23,2.67,Green,899,254,23657.46,71,Moderate,7,Monitored for trend post intervention.,8/19/2025
ED_Throughput,Community Campus,ICU,Lean turnover project,Throughput,Number of patients processed per day,Throughput-ICU,14.94,2024-07 to 2024-12,10.83569513,2025-01 to 2025-06,-4.1,-27.47,13.45,Green,144,426,18601.69,135,High,1,Monitored for trend post intervention.,8/19/2025
ED_Throughput,Community Campus,OR,Workflow redesign,Cost per Encounter,Average cost per encounter in USD,Cost per Encounter-OR,3.21,2024-07 to 2024-12,2.166735324,2025-01 to 2025-06,-1.04,-32.5,2.99,Green,176,526,32865.14,346,Low,9,Monitored for trend post intervention.,8/19/2025
ED_Throughput,Main Hospital,ED,Cycle time optimization,No-Show,Percentage of patients missing appointments,No-Show-ED,17.47,2024-07 to 2024-12,13.24821639,2025-01 to 2025-06,-4.22,-24.17,14.33,Green,934,897,9269.23,390,Moderate,8,Monitored for trend post intervention.,8/19/2025
Clinic_CycleTime,Community Campus,Ambulatory,Cycle time optimization,Readmission,Percentage of patients readmitted within 30 days,Readmission-Ambulatory,6.35,2024-07 to 2024-12,3.476188583,2025-01 to 2025-06,-2.87,-45.26,5.56,Green,488,704,22234.21,264,High,1,Monitored for trend post intervention.,8/19/2025
OR_Turnover,Main Hospital,ED,Workflow redesign,Door-to-Doc,Time from arrival to physician encounter,Door-to-Doc-ED,11.89,2024-07 to 2024-12,15.89482866,2025-01 to 2025-06,4,33.68,9.91,Red,913,958,11348.66,485,Low,5,Monitored for trend post intervention.,8/19/2025
ED_Throughput,Main Hospital,Ambulatory,Workflow redesign,Throughput,Number of patients processed per day,Throughput-Ambulatory,3.2,2024-07 to 2024-12,0,2025-01 to 2025-06,-3.2,-100,2.69,Green,866,170,31504.79,140,Moderate,10,Monitored for trend post intervention.,8/19/2025
OR_Turnover,Community Campus,OR,Triage automation,Readmission,Percentage of patients readmitted within 30 days,Readmission-OR,19.9,2024-07 to 2024-12,15.97523007,2025-01 to 2025-06,-3.92,-19.72,17.83,Green,286,319,26086.05,478,High,2,Monitored for trend post intervention.,8/19/2025
Inpatient_LOS,Main Hospital,Ambulatory,Lean turnover project,Cycle Time,Total cycle time per patient visit in minutes,Cycle Time-Ambulatory,13.86,2024-07 to 2024-12,18.01310453,2025-01 to 2025-06,4.15,29.96,13,Red,772,852,9965.67,102,High,1,Monitored for trend post intervention.,8/19/2025
OR_Turnover,Community Campus,Med-Surg,Workflow redesign,Turnover Time,OR room turnover time in minutes,Turnover Time-Med-Surg,14.67,2024-07 to 2024-12,13.70290339,2025-01 to 2025-06,-0.97,-6.59,11.91,Yellow,768,980,16557.73,135,High,5,Monitored for trend post intervention.,8/19/2025
ED_Throughput,Community Campus,Med-Surg,Cycle time optimization,Readmission,Percentage of patients readmitted within 30 days,Readmission-Med-Surg,16.86,2024-07 to 2024-12,20.20916519,2025-01 to 2025-06,3.35,19.86,15.9,Red,402,101,22011.49,201,High,4,Monitored for trend post intervention.,8/19/2025
Inpatient_LOS,Main Hospital,ICU,Triage automation,Wait Time,Average wait time before service,Wait Time-ICU,14.83,2024-07 to 2024-12,15.28286234,2025-01 to 2025-06,0.45,3.05,12.46,Yellow,196,838,27109.42,386,Low,2,Monitored for trend post intervention.,8/19/2025
Inpatient_LOS,Main Hospital,ED,Lean turnover project,Readmission,Percentage of patients readmitted within 30 days,Readmission-ED,15.4,2024-07 to 2024-12,14.66057645,2025-01 to 2025-06,-0.74,-4.8,13.09,Yellow,636,149,24899.34,479,High,5,Monitored for trend post intervention.,8/19/2025
Inpatient_LOS,Community Campus,ICU,Triage automation,Cost per Encounter,Average cost per encounter in USD,Cost per Encounter-ICU,3.43,2024-07 to 2024-12,3.72747227,2025-01 to 2025-06,0.3,8.67,2.8,Yellow,882,106,45618.41,83,Low,2,Monitored for trend post intervention.,8/19/2025
Inpatient_LOS,Community Campus,Med-Surg,Cycle time optimization,No-Show,Percentage of patients missing appointments,No-Show-Med-Surg,16.74,2024-07 to 2024-12,16.00984826,2025-01 to 2025-06,-0.73,-4.36,13.6,Yellow,219,638,21596.1,425,Moderate,6,Monitored for trend post intervention.,8/19/2025
ED_Throughput,Community Campus,ICU,Cycle time optimization,Door-to-Doc,Time from arrival to physician encounter,Door-to-Doc-ICU,7.28,2024-07 to 2024-12,6.006790947,2025-01 to 2025-06,-1.27,-17.49,6.23,Green,531,398,37867.12,434,Moderate,8,Monitored for trend post intervention.,8/19/2025
OR_Turnover,Main Hospital,ED,Lean turnover project,Turnover Time,OR room turnover time in minutes,Turnover Time-ED,2.63,2024-07 to 2024-12,7.434775739,2025-01 to 2025-06,4.8,182.69,2.23,Red,340,686,40298.3,415,Low,6,Monitored for trend post intervention.,8/19/2025
Inpatient_LOS,Main Hospital,Ambulatory,Cycle time optimization,Readmission,Percentage of patients readmitted within 30 days,Readmission-Ambulatory,10.99,2024-07 to 2024-12,8.774283755,2025-01 to 2025-06,-2.22,-20.16,9.6,Green,966,653,7481.88,165,Low,2,Monitored for trend post intervention.,8/19/2025
OR_Turnover,Main Hospital,Med-Surg,Lean turnover project,Turnover Time,OR room turnover time in minutes,Turnover Time-Med-Surg,18.59,2024-07 to 2024-12,20.50688087,2025-01 to 2025-06,1.92,10.31,16.56,Red,480,632,34194,320,Moderate,8,Monitored for trend post intervention.,8/19/2025
